"Table 1. Real Gross Domestic Product, by County, 2018–2021",,,,,,,,,
,Real gross domestic product,,,,,Percent change from preceding period,,,
,Thousands of chained (2012) dollars,,,,Rank in state,Percent change,,,Rank in state
Edmonson,"154,703","166,920","160,416","162,020",107,7.9,-3.9,1.0,89
Elliott,"71,524","73,823","70,151","70,034",118,3.2,-5.0,-0.2,100
Estill,"194,547","193,946","188,165","189,455",98,-0.3,-3.0,0.7,91
Fayette,"18,275,176","18,689,860","18,158,515","18,914,736",2,2.3,-2.8,4.2,58
Fleming,"270,307","283,961","291,872","292,883",80,5.1,2.8,0.3,97
Floyd,"1,009,421","1,060,234","984,183","1,012,776",35,5.0,-7.2,2.9,70
Franklin,"2,742,758","2,766,442","2,789,371","2,900,069",13,0.9,0.8,4.0,60
Fulton,"170,372","184,701","178,063","196,071",97,8.4,-3.6,10.1,5
Gallatin,"309,043","353,179","344,663","357,703",71,14.3,-2.4,3.8,61
Garrard,"236,159","234,522","225,969","233,392",90,-0.7,-3.6,3.3,68
Grant,"471,180","468,551","454,771","499,009",57,-0.6,-2.9,9.7,8
Graves,"1,176,800","1,172,662","1,142,955","1,214,472",30,-0.4,-2.5,6.3,28
Grayson,"621,167","661,127","661,392","672,587",50,6.4,0.0,1.7,85
Green,"138,090","147,035","158,885","167,750",105,6.5,8.1,5.6,34
Greenup,"819,964","850,056","734,597","732,704",46,3.7,-13.6,-0.3,103
Hancock,"745,519","825,734","749,928","741,685",45,10.8,-9.2,-1.1,108
Hardin,"4,595,445","4,748,663","4,679,215","4,895,260",7,3.3,-1.5,4.6,49
Harlan,"539,369","511,372","469,917","481,339",58,-5.2,-8.1,2.4,76
Harrison,"496,896","473,794","457,905","473,780",59,-4.6,-3.4,3.5,66
Hart,"506,656","532,598","507,494","518,421",55,5.1,-4.7,2.2,80
Henderson,"1,820,472","1,894,770","1,847,572","1,935,780",19,4.1,-2.5,4.8,46
Henry,"314,172","320,315","310,865","326,768",73,2.0,-3.0,5.1,43
Hickman,"198,437","187,755","156,911","180,552",103,-5.4,-16.4,15.1,3
Hopkins,"1,679,915","1,729,103","1,677,253","1,705,706",23,2.9,-3.0,1.7,84
Jackson,"141,932","148,069","139,894","139,873",112,4.3,-5.5,0.0,99
Jefferson,"48,844,190","50,764,537","49,843,945","53,014,650",1,3.9,-1.8,6.4,26
Jessamine,"1,909,419","1,907,949","1,908,623","1,953,450",18,-0.1,0.0,2.3,78
Johnson,"401,788","409,398","395,190","393,557",65,1.9,-3.5,-0.4,104
Kenton,"7,217,630","7,823,301","8,080,748","8,590,637",4,8.4,3.3,6.3,27
Knott,"210,917","209,545","212,337","198,498",96,-0.7,1.3,-6.5,117
Knox,"569,235","562,772","546,553","559,562",53,-1.1,-2.9,2.4,77
Larue,"208,225","197,379","198,498","214,156",92,-5.2,0.6,7.9,13
Laurel,"1,916,009","1,927,147","1,904,201","1,994,808",17,0.6,-1.2,4.8,47
Lawrence,"306,972","325,791","319,797","317,201",76,6.1,-1.8,-0.8,106
Lee,"121,473","120,543","119,074","111,912",114,-0.8,-1.2,-6.0,116
Leslie,"173,115","159,053","143,134","129,653",113,-8.1,-10.0,-9.4,119
Letcher,"349,557","326,120","308,029","318,782",75,-6.7,-5.5,3.5,65
Lewis,"180,074","187,336","184,311","189,359",99,4.0,-1.6,2.7,72
Lincoln,"363,764","375,686","371,356","387,965",67,3.3,-1.2,4.5,51
Livingston,"252,345","251,379","266,847","264,185",84,-0.4,6.2,-1.0,107
Logan,"1,006,119","1,136,618","1,096,320","1,144,708",32,13.0,-3.5,4.4,53
Lyon,"198,101","203,520","205,777","203,237",94,2.7,1.1,-1.2,110
McCracken,"3,816,023","3,896,481","3,843,336","4,048,940",9,2.1,-1.4,5.3,38
McCreary,"227,682","227,983","236,958","245,771",88,0.1,3.9,3.7,63
McLean,"307,215","284,730","219,490","257,880",85,-7.3,-22.9,17.5,2
Madison,"2,692,019","2,743,969","2,630,654","2,793,190",14,1.9,-4.1,6.2,29
Magoffin,"146,809","150,088","143,607","144,367",111,2.2,-4.3,0.5,93
Marion,"807,048","844,935","824,773","888,330",40,4.7,-2.4,7.7,16
Marshall,"1,247,450","1,340,979","1,334,866","1,293,477",29,7.5,-0.5,-3.1,115
Martin,"250,698","247,338","208,408","202,598",95,-1.3,-15.7,-2.8,114
Mason,"1,007,442","979,717","999,978","1,028,198",34,-2.8,2.1,2.8,71
Meade,"454,651","503,604","522,193","552,508",54,10.8,3.7,5.8,32
Menifee,"77,024","79,749","80,627","80,421",117,3.5,1.1,-0.3,102
Mercer,"794,005","727,802","695,989","728,771",47,-8.3,-4.4,4.7,48
Metcalfe,"158,904","162,570","160,208","174,678",104,2.3,-1.5,9.0,10
Monroe,"291,029","290,917","284,153","286,399",82,0.0,-2.3,0.8,90
Montgomery,"906,970","931,871","911,938","977,339",37,2.7,-2.1,7.2,20
Morgan,"230,765","239,481","228,526","234,232",89,3.8,-4.6,2.5,74
Muhlenberg,"1,182,569","1,172,021","1,035,734","966,712",38,-0.9,-11.6,-6.7,118
Nelson,"1,434,331","1,450,170","1,442,812","1,556,453",25,1.1,-0.5,7.9,14
Nicholas,"85,133","84,843","81,853","86,116",116,-0.3,-3.5,5.2,42
Ohio,"880,180","849,924","738,023","812,629",43,-3.4,-13.2,10.1,6
Oldham,"1,732,110","1,768,148","1,698,341","1,787,107",22,2.1,-3.9,5.2,41
Owen,"187,821","172,072","163,983","164,181",106,-8.4,-4.7,0.1,98
Owsley,"46,709","44,325","42,550","45,380",119,-5.1,-4.0,6.7,24
Pendleton,"264,995","263,081","260,844","257,373",86,-0.7,-0.9,-1.3,111
Perry,"944,914","910,347","864,764","875,858",41,-3.7,-5.0,1.3,88
Pike,"1,983,643","1,960,723","1,851,925","1,848,814",20,-1.2,-5.5,-0.2,101
Powell,"203,207","201,526","206,655","211,441",93,-0.8,2.5,2.3,79
Pulaski,"1,965,133","2,023,181","1,914,444","2,031,470",16,3.0,-5.4,6.1,30
Robertson,"22,765","23,058","23,843","24,816",120,1.3,3.4,4.1,59
Rockcastle,"290,726","301,002","286,795","292,238",81,3.5,-4.7,1.9,81
Rowan,"671,407","667,877","644,418","672,963",49,-0.5,-3.5,4.4,52
Russell,"544,459","583,679","570,706","574,425",52,7.2,-2.2,0.7,92
Scott,"3,088,858","3,241,287","3,120,403","3,424,355",11,4.9,-3.7,9.7,7
Shelby,"1,527,406","1,517,361","1,480,791","1,561,304",24,-0.7,-2.4,5.4,37
Simpson,"787,755","800,669","862,986","909,963",39,1.6,7.8,5.4,36
Spencer,"246,978","252,927","266,592","276,642",83,2.4,5.4,3.8,62
Taylor,"774,233","803,820","788,439","792,023",44,3.8,-1.9,0.5,95
Todd,"312,677","339,000","342,900","367,612",69,8.4,1.2,7.2,18
Trigg,"244,074","258,565","242,265","256,180",87,5.9,-6.3,5.7,33
Trimble,"452,264","464,605","475,387","463,195",60,2.7,2.3,-2.6,112
Union,"693,929","750,539","782,057","662,543",51,8.2,4.2,-15.3,120
Warren,"5,464,347","5,768,555","5,722,706","6,067,426",5,5.6,-0.8,6.0,31
Washington,"302,496","290,919","277,827","307,947",78,-3.8,-4.5,10.8,4
Wayne,"395,328","387,588","387,923","389,436",66,-2.0,0.1,0.4,96
Webster,"594,357","519,413","389,408","460,879",61,-12.6,-25.0,18.4,1
Whitley,"947,308","974,024","952,572","1,000,056",36,2.8,-2.2,5.0,45
Wolfe,"92,474","88,591","92,588","99,362",115,-4.2,4.5,7.3,17
Woodford,"1,150,046","1,174,840","1,096,479","1,088,517",33,2.2,-6.7,-0.7,105
,,,,,,,,,
Louisiana,"237,298,288","237,044,596","218,421,686","221,152,704",--,-0.1,-7.9,1.3,--
Acadia,"1,479,353","1,432,590","1,431,208","1,381,811",30,-3.2,-0.1,-3.5,51
Allen,"649,011","637,342","627,847","628,420",45,-1.8,-1.5,0.1,38
Ascension,"8,370,326","8,784,999","7,691,918","7,939,396",8,5.0,-12.4,3.2,19
Assumption,"450,190","464,980","409,604","404,881",56,3.3,-11.9,-1.2,45
Avoyelles,"864,920","844,574","815,911","814,271",41,-2.4,-3.4,-0.2,40
Beauregard,"1,013,087","1,032,514","1,067,453","1,058,493",36,1.9,3.4,-0.8,43
Bienville,"645,781","613,199","645,001","774,436",43,-5.0,5.2,20.1,1
Bossier,"5,225,235","5,212,094","4,976,614","5,144,117",12,-0.3,-4.5,3.4,17
Caddo,"12,374,889","12,506,828","11,751,546","12,172,768",6,1.1,-6.0,3.6,14
Calcasieu,"14,907,976","15,318,643","12,328,781","12,443,359",5,2.8,-19.5,0.9,30
Caldwell,"175,148","180,348","172,991","178,040",61,3.0,-4.1,2.9,21
Cameron,"1,578,973","1,304,841","1,011,022","1,090,729",34,-17.4,-22.5,7.9,6
Catahoula,"165,382","175,545","175,892","173,552",62,6.1,0.2,-1.3,47
Claiborne,"455,767","432,634","387,648","408,841",55,-5.1,-10.4,5.5,10
Concordia,"540,639","549,545","530,619","544,685",48,1.6,-3.4,2.7,23
De Soto,"3,524,747","3,992,626","3,688,734","3,890,218",15,13.3,-7.6,5.5,11
East Baton Rouge,"36,671,833","35,037,479","31,934,939","32,006,455",1,-4.5,-8.9,0.2,35
East Carroll,"171,690","163,671","170,086","157,561",63,-4.7,3.9,-7.4,60
East Feliciana,"452,268","452,127","448,711","434,176",54,0.0,-0.8,-3.2,50
Evangeline,"821,915","841,744","858,470","828,141",40,2.4,2.0,-3.5,52
Franklin,"466,756","493,918","486,616","483,594",49,5.8,-1.5,-0.6,41
Grant,"341,087","328,022","338,495","341,243",58,-3.8,3.2,0.8,31
Iberia,"2,977,666","3,002,500","2,753,232","2,621,486",20,0.8,-8.3,-4.8,54
Iberville,"1,856,449","1,882,377","1,785,901","1,693,227",27,1.4,-5.1,-5.2,55
Jackson,"452,678","435,535","440,983","457,179",51,-3.8,1.3,3.7,13
Jefferson,"21,532,515","21,782,353","20,250,067","20,954,050",2,1.2,-7.0,3.5,15
Jefferson Davis,"871,807","860,272","868,190","810,576",42,-1.3,0.9,-6.6,57
Lafayette,"13,168,658","13,094,372","12,538,905","12,958,217",4,-0.6,-4.2,3.3,18
Lafourche,"3,771,499","3,776,287","3,583,767","3,342,366",16,0.1,-5.1,-6.7,58
LaSalle,"472,357","490,676","462,233","447,934",53,3.9,-5.8,-3.1,49
Lincoln,"2,207,095","2,147,333","1,985,484","2,054,296",24,-2.7,-7.5,3.5,16
Livingston,"2,998,878","2,965,448","2,847,365","3,020,956",17,-1.1,-4.0,6.1,8
Madison,"420,699","403,710","370,679","346,258",57,-4.0,-8.2,-6.6,56
Morehouse,"570,687","582,014","577,947","563,025",47,2.0,-0.7,-2.6,48
Natchitoches,"1,296,762","1,319,764","1,305,859","1,422,395",29,1.8,-1.1,8.9,5
Orleans,"21,649,425","21,816,694","20,068,701","20,365,841",3,0.8,-8.0,1.5,28
Ouachita,"6,724,186","6,455,359","6,233,521","6,231,489",10,-4.0,-3.4,0.0,39
Plaquemines,"3,800,998","3,772,361","3,156,764","2,859,477",18,-0.8,-16.3,-9.4,63
Pointe Coupee,"795,327","797,397","706,984","772,115",44,0.3,-11.3,9.2,4
Rapides,"5,204,089","5,199,648","5,069,677","5,205,741",11,-0.1,-2.5,2.7,22
Red River,"1,005,984","1,118,267","1,055,776","1,245,317",32,11.2,-5.6,18.0,2
Richland,"530,602","562,116","569,589","574,066",46,5.9,1.3,0.8,32
Sabine,"866,233","934,758","921,859","1,019,377",37,7.9,-1.4,10.6,3
St. Bernard,"2,177,402","1,455,791","1,371,712","1,254,267",31,-33.1,-5.8,-8.6,61
St. Charles,"8,100,411","8,686,528","7,472,509","7,407,636",9,7.2,-14.0,-0.9,44
St. Helena,"192,153","185,851","172,758","182,892",59,-3.3,-7.0,5.9,9
St. James,"3,345,323","3,118,012","2,418,553","2,152,044",22,-6.8,-22.4,-11.0,64
St. John the Baptist,"4,176,349","4,133,664","3,078,939","2,804,254",19,-1.0,-25.5,-8.9,62
St. Landry,"2,300,171","2,324,776","2,291,014","2,349,001",21,1.1,-1.5,2.5,24
St. Martin,"1,199,657","1,224,701","1,144,476","1,173,194",33,2.1,-6.6,2.5,26
St. Mary,"2,278,571","2,316,119","2,140,097","2,150,316",23,1.6,-7.6,0.5,33
St. Tammany,"11,006,119","11,472,185","11,073,834","11,349,455",7,4.2,-3.5,2.5,27
Tangipahoa,"3,830,606","3,923,960","3,943,408","4,042,857",14,2.4,0.5,2.5,25
Tensas,"136,795","140,088","130,530","121,170",64,2.4,-6.8,-7.2,59
Terrebonne,"5,145,299","5,075,613","4,606,427","4,572,821",13,-1.4,-9.2,-0.7,42
Union,"478,395","466,321","432,896","461,653",50,-2.5,-7.2,6.6,7
Vermilion,"1,563,478","1,481,888","1,425,266","1,426,949",28,-5.2,-3.8,0.1,36
Vernon,"1,803,426","1,841,412","1,816,855","1,888,684",25,2.1,-1.3,4.0,12
Washington,"1,054,993","1,031,850","976,271","1,005,839",38,-2.2,-5.4,3.0,20
Webster,"1,108,042","1,095,634","1,059,487","1,063,403",35,-1.1,-3.3,0.4,34
West Baton Rouge,"2,113,691","2,173,304","1,871,247","1,848,997",26,2.8,-13.9,-1.2,46
West Carroll,"224,724","181,545","188,859","181,638",60,-19.2,4.0,-3.8,53
West Feliciana,"811,724","868,538","927,921","936,960",39,7.0,6.8,1.0,29
Winn,"437,904","421,043","451,305","451,732",52,-3.9,7.2,0.1,37
,,,,,,,,,
Maine,"58,099,895","59,553,368","59,881,438","63,594,547",--,2.5,0.6,6.2,--
Androscoggin,"4,235,842","4,349,255","4,416,232","4,616,143",5,2.7,1.5,4.5,11
Aroostook,"2,353,033","2,327,891","2,353,706","2,369,374",7,-1.1,1.1,0.7,15
Cumberland,"19,787,148","20,364,448","20,693,160","22,188,011",1,2.9,1.6,7.2,4
Franklin,"963,405","991,835","964,562","1,004,610",15,3.0,-2.7,4.2,13
Hancock,"2,170,409","2,262,989","2,224,247","2,400,257",6,4.3,-1.7,7.9,3
Kennebec,"5,092,180","5,202,587","5,276,391","5,539,402",4,2.2,1.4,5.0,8
Knox,"1,578,339","1,664,905","1,660,558","1,772,981",8,5.5,-0.3,6.8,6
Lincoln,"1,047,585","1,089,696","1,085,963","1,191,456",13,4.0,-0.3,9.7,2
Oxford,"1,555,446","1,545,153","1,522,401","1,594,247",10,-0.7,-1.5,4.7,10
Penobscot,"5,886,484","6,021,102","6,014,583","6,309,265",3,2.3,-0.1,4.9,9
Piscataquis,"506,564","509,229","537,530","560,396",16,0.5,5.6,4.3,12
Sagadahoc,"1,618,125","1,601,753","1,473,949","1,705,967",9,-1.0,-8.0,15.7,1
Somerset,"1,556,957","1,533,578","1,531,767","1,585,851",11,-1.5,-0.1,3.5,14
Waldo,"1,167,726","1,239,480","1,269,447","1,351,787",12,6.1,2.4,6.5,7
Washington,"954,599","1,000,903","1,037,163","1,031,730",14,4.9,3.6,-0.5,16
York,"7,629,001","7,850,210","7,825,575","8,384,714",2,2.9,-0.3,7.1,5
,,,,,,,,,
Maryland,"367,977,415","368,056,406","352,383,974","368,571,090",--,0.0,-4.3,4.6,--
Allegany,"2,800,419","2,767,111","2,552,124","2,530,648",16,-1.2,-7.8,-0.8,23
Anne Arundel,"46,540,044","46,798,602","44,664,419","46,393,893",3,0.6,-4.6,3.9,17
Baltimore,"50,171,654","51,351,406","47,786,908","49,710,537",2,2.4,-6.9,4.0,15
Calvert,"4,112,988","4,056,444","3,967,018","3,878,152",15,-1.4,-2.2,-2.2,24
Caroline,"1,238,924","1,139,685","1,054,853","1,164,612",22,-8.0,-7.4,10.4,3
Carroll,"5,749,178","5,782,826","5,541,438","5,774,373",11,0.6,-4.2,4.2,14
Cecil,"4,430,868","4,402,394","4,220,661","4,389,612",14,-0.6,-4.1,4.0,16
Charles,"5,428,372","5,379,401","5,237,848","5,378,383",12,-0.9,-2.6,2.7,19
Dorchester,"1,175,183","1,192,661","1,191,769","1,283,999",20,1.5,-0.1,7.7,4
Frederick,"12,434,791","12,606,164","12,179,170","12,706,667",7,1.4,-3.4,4.3,13
Garrett,"1,173,553","1,172,334","1,153,913","1,184,433",21,-0.1,-1.6,2.6,20
Harford,"11,890,701","12,113,667","11,900,847","12,254,300",8,1.9,-1.8,3.0,18
Howard,"24,750,776","25,299,204","24,940,141","26,480,561",6,2.2,-1.4,6.2,7
Kent,"852,937","868,642","835,123","836,226",23,1.8,-3.9,0.1,22
Montgomery,"85,631,874","83,940,198","80,423,266","84,842,228",1,-2.0,-4.2,5.5,9
Prince George's,"41,511,582","41,779,366","39,945,691","41,716,091",5,0.6,-4.4,4.4,12
Queen Anne's,"1,688,489","1,712,341","1,599,370","1,853,612",18,1.4,-6.6,15.9,1
St. Mary's,"6,777,542","6,902,109","7,037,431","7,167,546",9,1.8,2.0,1.8,21
Somerset,"855,415","786,583","781,222","833,180",24,-8.0,-0.7,6.7,6
Talbot,"1,927,811","1,860,298","1,713,210","1,795,412",19,-3.5,-7.9,4.8,10
Washington,"6,529,625","6,326,352","5,950,036","6,317,394",10,-3.1,-5.9,6.2,8
Wicomico,"4,684,770","4,656,546","4,531,720","4,843,137",13,-0.6,-2.7,6.9,5
Worcester,"2,615,400","2,541,517","2,260,498","2,515,515",17,-2.8,-11.1,11.3,2
Baltimore City,"43,013,601","42,621,988","40,939,494","42,782,920",4,-0.9,-3.9,4.5,11
,,,,,,,,,
Massachusetts,"501,541,470","514,170,834","500,000,964","533,102,052",--,2.5,-2.8,6.6,--
Barnstable,"11,753,488","12,089,470","11,317,461","12,083,714",9,2.9,-6.4,6.8,6
Berkshire,"6,453,474","6,291,201","5,957,780","6,184,325",11,-2.5,-5.3,3.8,14
Bristol,"23,765,918","24,168,737","23,591,993","24,798,881",6,1.7,-2.4,5.1,10
Dukes,"1,452,859","1,429,454","1,319,948","1,431,720",13,-1.6,-7.7,8.5,2
Essex,"41,834,447","42,156,769","40,070,911","42,903,361",4,0.8,-4.9,7.1,5
Franklin,"2,795,670","2,800,705","2,635,139","2,742,108",12,0.2,-5.9,4.1,13
Hampden,"20,304,254","20,508,796","19,814,842","20,639,756",8,1.0,-3.4,4.2,12
Hampshire,"7,019,862","7,107,189","6,592,243","6,889,418",10,1.2,-7.2,4.5,11
Middlesex,"157,155,838","162,329,149","161,615,232","173,443,523",1,3.3,-0.4,7.3,3
Nantucket,"1,325,502","1,340,518","1,190,896","1,332,979",14,1.1,-11.2,11.9,1
Norfolk,"49,051,437","49,477,537","46,924,719","50,038,163",3,0.9,-5.2,6.6,7
Plymouth,"23,815,745","23,811,096","22,493,812","23,767,184",7,0.0,-5.5,5.7,8
Suffolk,"114,941,139","120,585,386","117,858,430","126,231,838",2,4.9,-2.3,7.1,4
Worcester,"39,874,841","39,997,606","38,706,524","40,762,031",5,0.3,-3.2,5.3,9
,,,,,,,,,
Michigan,"466,559,436","467,106,974","448,455,330","481,778,025",--,0.1,-4.0,7.4,--
Alcona,"207,218","204,532","202,615","193,731",79,-1.3,-0.9,-4.4,82
Alger,"222,567","223,624","217,279","229,279",77,0.5,-2.8,5.5,45
Allegan,"4,212,030","4,129,977","4,155,903","4,308,063",21,-1.9,0.6,3.7,56
Alpena,"970,677","976,273","951,301","1,001,364",50,0.6,-2.6,5.3,46
Antrim,"537,429","551,774","545,820","545,616",61,2.7,-1.1,0.0,77
Arenac,"414,187","406,125","371,261","383,974",71,-1.9,-8.6,3.4,59
Baraga,"224,532","248,577","243,851","255,386",75,10.7,-1.9,4.7,52
Barry,"1,444,465","1,490,048","1,457,760","1,530,171",34,3.2,-2.2,5.0,50
Bay,"3,326,198","3,253,450","3,189,973","3,427,207",22,-2.2,-2.0,7.4,26
Benzie,"482,233","479,321","456,217","490,018",65,-0.6,-4.8,7.4,27
Berrien,"6,944,506","6,791,312","6,764,681","6,916,916",11,-2.2,-0.4,2.3,68
Branch,"1,261,334","1,347,333","1,299,876","1,414,352",37,6.8,-3.5,8.8,16
Calhoun,"5,847,535","5,852,564","5,827,577","6,494,551",13,0.1,-0.4,11.4,6
Cass,"1,023,292","1,047,489","980,749","1,032,342",48,2.4,-6.4,5.3,47
Charlevoix,"1,135,611","1,107,366","1,046,671","1,125,767",45,-2.5,-5.5,7.6,24
Cheboygan,"593,525","575,369","524,484","560,665",59,-3.1,-8.8,6.9,31
Chippewa,"1,021,561","1,024,666","982,751","1,027,176",49,0.3,-4.1,4.5,54
Clare,"1,062,110","974,678","940,762","986,488",51,-8.2,-3.5,4.9,51
Clinton,"2,026,372","1,976,422","1,971,011","2,081,915",28,-2.5,-0.3,5.6,42
Crawford,"386,630","386,597","364,258","391,917",70,0.0,-5.8,7.6,23
Delta,"1,120,117","1,137,922","1,089,986","1,119,129",46,1.6,-4.2,2.7,62
Dickinson,"1,207,209","1,205,434","1,163,710","1,271,903",39,-0.1,-3.5,9.3,12
Eaton,"4,747,164","4,719,537","4,621,860","5,120,452",18,-0.6,-2.1,10.8,8
Emmet,"1,571,313","1,594,654","1,516,508","1,662,006",30,1.5,-4.9,9.6,10
Genesee,"14,770,904","14,975,881","13,854,299","14,845,962",7,1.4,-7.5,7.2,29
Gladwin,"433,011","455,874","416,019","418,114",68,5.3,-8.7,0.5,76
Gogebic,"423,160","427,758","417,953","427,495",66,1.1,-2.3,2.3,66
Grand Traverse,"4,724,794","4,760,776","4,594,583","4,871,789",19,0.8,-3.5,6.0,39
Gratiot,"1,257,146","1,217,624","1,282,569","1,306,503",38,-3.1,5.3,1.9,69
Hillsdale,"1,445,699","1,416,976","1,365,993","1,544,537",33,-2.0,-3.6,13.1,3
Houghton,"1,003,719","1,017,568","985,455","1,050,615",47,1.4,-3.2,6.6,36
Huron,"1,444,873","1,358,738","1,430,195","1,439,236",36,-6.0,5.3,0.6,73
Ingham,"15,051,438","15,294,114","14,975,755","15,834,048",6,1.6,-2.1,5.7,41
Ionia,"1,420,654","1,585,280","1,432,821","1,628,928",31,11.6,-9.6,13.7,1
Iosco,"717,210","759,775","752,290","808,510",54,5.9,-1.0,7.5,25
Iron,"293,011","301,634","284,882","282,197",73,2.9,-5.6,-0.9,79
Isabella,"2,194,179","2,131,793","2,039,749","2,143,559",27,-2.8,-4.3,5.1,49
Jackson,"5,777,848","6,036,438","5,815,571","6,337,930",14,4.5,-3.7,9.0,15
Kalamazoo,"12,626,228","12,781,868","12,332,481","13,094,094",9,1.2,-3.5,6.2,38
Kalkaska,"527,632","518,826","492,437","518,010",63,-1.7,-5.1,5.2,48
Kent,"38,579,200","38,784,806","37,591,741","40,111,238",3,0.5,-3.1,6.7,34
Keweenaw,"43,696","46,791","45,971","48,534",83,7.1,-1.8,5.6,43
Lake,"214,463","208,714","215,771","214,811",78,-2.7,3.4,-0.4,78
Lapeer,"2,092,674","2,073,331","2,013,298","2,255,916",26,-0.9,-2.9,12.1,5
Leelanau,"743,274","744,642","695,047","745,463",56,0.2,-6.7,7.3,28
Lenawee,"2,884,461","2,698,677","2,643,553","2,861,990",23,-6.4,-2.0,8.3,20
Livingston,"6,631,931","6,485,160","6,268,186","6,834,026",12,-2.2,-3.3,9.0,13
Luce,"146,184","142,855","138,112","141,733",81,-2.3,-3.3,2.6,63
Mackinac,"388,627","394,932","369,184","418,260",67,1.6,-6.5,13.3,2
Macomb,"36,591,426","35,839,830","33,713,196","37,532,821",4,-2.1,-5.9,11.3,7
Manistee,"790,118","791,468","773,775","798,512",55,0.2,-2.2,3.2,61
Marquette,"2,628,012","2,650,132","2,549,767","2,861,030",24,0.8,-3.8,12.2,4
Mason,"974,059","944,354","897,779","918,129",53,-3.0,-4.9,2.3,67
Mecosta,"1,149,674","1,156,716","1,089,240","1,187,109",43,0.6,-5.8,9.0,14
Menominee,"691,459","699,169","625,899","667,289",58,1.1,-10.5,6.6,35
Midland,"5,051,329","4,778,868","4,779,479","4,807,138",20,-5.4,0.0,0.6,74
Missaukee,"416,058","437,796","416,710","398,736",69,5.2,-4.8,-4.3,81
Monroe,"5,359,921","5,423,176","5,048,087","5,393,210",16,1.2,-6.9,6.8,32
Montcalm,"1,515,392","1,471,426","1,453,397","1,508,365",35,-2.9,-1.2,3.8,55
Montmorency,"287,645","276,264","256,032","238,437",76,-4.0,-7.3,-6.9,83
Muskegon,"5,663,017","5,699,057","5,425,499","5,725,808",15,0.6,-4.8,5.5,44
Newaygo,"1,299,298","1,312,094","1,226,508","1,248,859",40,1.0,-6.5,1.8,70
Oakland,"96,185,340","96,822,709","93,102,151","100,384,284",1,0.7,-3.8,7.8,22
Oceana,"652,577","636,380","563,169","552,037",60,-2.5,-11.5,-2.0,80
Ogemaw,"533,850","513,800","494,066","499,697",64,-3.8,-3.8,1.1,72
Ontonagon,"114,446","119,693","121,081","124,114",82,4.6,1.2,2.5,65
Osceola,"665,013","696,204","676,606","685,579",57,4.7,-2.8,1.3,71
Oscoda,"186,865","199,194","172,662","178,217",80,6.6,-13.3,3.2,60
Otsego,"951,699","938,238","939,925","973,882",52,-1.4,0.2,3.6,57
Ottawa,"13,412,989","13,284,819","13,020,427","13,896,605",8,-1.0,-2.0,6.7,33
Presque Isle,"306,435","311,017","313,698","342,874",72,1.5,0.9,9.3,11
Roscommon,"514,183","520,030","517,556","535,422",62,1.1,-0.5,3.5,58
Saginaw,"7,572,221","7,745,002","7,399,513","7,883,704",10,2.3,-4.5,6.5,37
St. Clair,"4,947,472","4,831,691","4,727,576","5,123,563",17,-2.3,-2.2,8.4,19
St. Joseph,"1,860,515","1,864,070","1,857,902","2,049,268",29,0.2,-0.3,10.3,9
Sanilac,"1,238,632","1,135,043","1,128,322","1,157,710",44,-8.4,-0.6,2.6,64
Schoolcraft,"255,066","259,652","256,065","276,281",74,1.8,-1.4,7.9,21
Shiawassee,"1,536,481","1,539,165","1,467,030","1,568,307",32,0.2,-4.7,6.9,30
Tuscola,"1,162,472","1,152,361","1,177,183","1,231,818",41,-0.9,2.2,4.6,53
